Year,Deaths
2023,56421
2024,56634
2025,56847
2026,57061
2027,57274
2028,57487
2029,57701
2030,57914
2031,58127
2032,58341
2033,58554
2034,58767
2035,58981
2036,59194
2037,59407
2038,59621
2039,59834
2040,60047
2041,60261
2042,60474
2043,60687
2044,60901
2045,61114
2046,61327
2047,61541
2048,61754
2049,61967
2050,62181
2051,62394
2052,62607
2053,62821
2054,63034
2055,63247
2056,63461
2057,63674
2058,63887
2059,64101
2060,64314
2061,64527
2062,64741
2063,64954
2064,65167
2065,65381
2066,65594
2067,65807
2068,66021
2069,66234
2070,66447
2071,66661
2072,66874
